"386993036003000321","peliculas","John Tucker Must Die is a great movie because its literally just attractive people doing attractive people things."
"386993019708121088","otros","Why can't I bring my dog to a movie theater... She'd be a great date. Plus we like the same movies duhh"
"386993002423791617","peliculas","The Great Gatsby is such a good movie"
"386992946106875904","peliculas","Just got back from seeing Rush. Like racing or not great movie! Ron Howard does it again. http://t.co/g0w1KTi0Fv"
"386992936166383616","peliculas","@Kat_McNamara I love content it's such a great movie!"
"386992884471177218","otros","@ImPearlAGem @kikizitao @TBossIDL @FrockYeah @Min2dajunK @NappeunWoman same, she's a great actress, im def going to watch this movie now :D"
"386992876473036800","peliculas","Just saw Prisoners.  Great movie.  Roger Deakins is the best DP in the business."
"386992872764891136","otros","@Z_Pear just a great movie."
"386992821649305600","otros","@joegurski right! Like it all made sense, but it was soooo good abd so scary! Great movie"
"386992813285851136","peliculas","#Clue The greatest comedy movie of all time. Great way to end my first weekend in DC"
"386992770188988417","peliculas","Go see #Gravity in 3D. Great movie. Very well done."
"386992706003537920","peliculas","It's awesome how closely the great gatsby movie follows the book #GreatGatsby"
"386992702099062784","otros","This is the end is a great movie"
"386992683858006016","peliculas","@LinsanityMovie I'm going to see this movie!  What a great story!  #Linsanity #documentary #NBA"
"386992670783991808","otros","When to a scary haunted house, out to eat, seen a good movie, and a football game I ❤️ Duluth thanks for the great weekend @TreBurrDaniels 😘"
"386992646603804672","otros","A real human being, and a real hero. #drive @college #electricyouth 80s cool comes back. Great song from a great movie."
"386992599846109184","peliculas","The Great Gatsby is my favorite movie!!!"
"386992572872138753","peliculas","Prisoners was a great movie"
"386992548050632704","peliculas","Lol ""@NasirLabi: - the great gatsby! #okbye""@Mistr_440: Now you see me!..movie of the year?.."""""
"386992540517666816","peliculas","""The Great Gatsby"" is arguably the best and most inspiring movie this year."
"386992539871371264","peliculas","never back down is such a great movie.. i could watch it every day.."
"386992515691204608","otros","@DineshDSouza Thank u for Obama 2016 movie! It is great! I heard u on radio during obamas 1st campaign & have always been grateful ~ a fan!"
"386992468224274432","peliculas","The sandlot is such a great movie"
"386992408166019072","otros","The Great Culling: Our Water Official Full Movie http://t.co/S6ATPmNRxK"
"386992363526434816","peliculas","Another movie question. Chipping away at Steve McQueen's film catalogue. Fan of Magnificent 7 and Great Escape. Other must sees? Bullitt?"
"386992275386945536","peliculas","Looks like I'm the only person on the planet who doesn't absolutely LOVE #Gravity. Good movie? For sure. Great? Not close, IMO."
"386992223683743744","peliculas","Fantastic four is a great movie. #lazysunday"
"386992211474522112","peliculas","Is Madea a racist movie? — lol nah http://t.co/DjxS5KCMfK"
"386992164947120128","peliculas","“@MaryMcTague: I want to see the kings of summer” @VogtRoberts great movie!"
"386992163612934144","peliculas","The Great Culling: Our Water Official Full Movie http://t.co/8m8QOWIRun"
"386992148387622916","peliculas","Steve Jobs is a great movie."
"386992067508846592","peliculas","Can't Hardly Wait is a great fucking movie."
"386992012987092992","otros","@GroovyBruce @AutumnAutos88 Lol yeah, why didn’t you choose to make a GREAT movie?? It’s so obvious!"
"386991994062372864","otros","@TiffanyAlvord great thank is my favorite actress to watch the movie :)"
"386991981752094721","otros","Went great! @ChloeGMoretz was a great interview as always! You'll LOVE the movie! :) #carrie @JoshuaWilliam35: Hope the junket went well.."
"386991973443186688","peliculas","Finally watched The Hobbit last night. So great! I really hope they do an Elves movie after this trilogy is done. They're my favorite."
"386991955793559552","otros","Sandra Bullock is a nice person. She didn't deserve all that bad luck in #Gravity Great movie though!"
"386991953742540800","peliculas","we bought a zoo is a great movie"
"386991888579837954","peliculas","PHANTOM OF THE MEGAPLEX IS A GREAT DISNEY CHANNEL HALLOWEEN MOVIE"
"386991863623737344","peliculas","Iron man 3 is such a slow movie but besides that it was a great night @its_jillkrebs"
"386991781638053888","otros","Reading how great the movie Gravity is, only to find out it isn't released in the UK until November 8th D: initially read it as October 8th"
"386991779775782912","otros","@CorySchmitz Seeing it this week! Pumped to actually see a great movie this year!"
"386991766508810240","otros","It makes me really bitter if someone's like ""oh yeah that's a great movie"" if it was a book first and they didn't read it. COME ON PEOPLE"
"386991737337417729","peliculas","I finally saw Perks of being a Wallflower, Great movie!"
"386991724796870656","peliculas","Gravity was a great movie."
"386991652570935296","peliculas","Pacific Rim Job was awesome! Great movie."
"386991642341015552","peliculas","Double Jeopardy is both a great movie and one that helps me remember that amendment..."
"386991629212479488","otros","@sunbabe08 I just finished watching TBUP, had a great dream Friday night, Stan is great!  some Great Smiles in that movie! :)"
"386991622799380480","peliculas","Watching the movie #Contest with Joe. #nobullying movie is great. Very touching..."
"386991428473458688","peliculas","Little big league! Great movie!"
"386991406205911040","peliculas","the great Gatsby is such a good movie.."
"386991347770880001","peliculas","Gravity is intense.  Great movie!"
"386991335431213056","peliculas","Dodgeball is such a great movie"
"386991313130098688","peliculas","Wow The Host is a good movie. Great idea. Maybe there's a little too much cheesy romance, but that's Stephenie Meyer."
"386991280602894336","otros","If anyone wants to visit me at work & see a movie tonite, that'd be great. This place creeps me out hard when I'm here by myself #funatwork"
"386991175405555712","otros","@WayneAW @vegucated well it was shot about 9 yrs ago or so. Great movie!! Xxoo"
"386991155189018624","peliculas","Saw Rush today.  Great movie.  Superb acting.  I was disappointed Olivia Wilde didn't have a bigger role."
"386991066227814400","peliculas","#GRAVITY was such a great movie! #IMax #3D"
"386991049136033792","peliculas","@JonConnorMusic he was great in the movie red state"
"386990925270245376","peliculas","The wedding singer..great movie 👌"
"386990871918698496","peliculas","Catch that kid is a great movie"
"386990825307009024","peliculas","""@kd2c3: IM WATCHING THE GREAT GATSBY NO ONE TALK TO ME"" I love that movie."
"386990769610825728","peliculas","The Great Gasby.... I love this movie"
"386990649264058368","peliculas","The fact that I still find South Park The Movie as funny as I did 8 years ago either says I'm way too immature or that it's a great movie"
"386990579441098752","peliculas","the movie gravity should've just been a short film at most. great cinematography but the plot just goes on and on and on"
"386990556083019777","peliculas","""Stop Loss"" is a great movie"
"386990512932401152","otros","The way Gatsby looks at Daisy in the Great Gatsby movie >>>"
"386990276138381312","peliculas","Gravity is a great movie. Very different but solid film"
"386990259335987200","peliculas","“@SamerPaulus: I really wanna watch Great Gatsby again” Great movie"
